areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K04000001,England and Wales,Country,Residents within a 30 minute walk of their nearest library,2024-05-15,78,Percentage,%,,,,
E92000001,England,Nation,Residents within a 30 minute walk of their nearest library,2024-05-15,78,Percentage,%,,,,
E12000001,North East,Region,Residents within a 30 minute walk of their nearest library,2024-05-15,79,Percentage,%,,,,
E47000006,Tees Valley,Combined Authority or City Region,Residents within a 30 minute walk of their nearest library,2024-05-15,85,Percentage,%,,,,
E47000014,North East,Combined Authority or City Region,Residents within a 30 minute walk of their nearest library,2024-05-15,76,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,68,Percentage,%,,,,
E06000005,Darlington,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,57,Percentage,%,,,,
E06000001,Hartlepool,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,92,Percentage,%,,,,
E06000002,Middlesbrough,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,96,Percentage,%,,,,
E06000057,Northumberland,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,55,Percentage,%,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,86,Percentage,%,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,88,Percentage,%,,,,
E08000037,Gateshead,Local Authority District,Residents within a 30 minute walk of their nearest library,2024-05-15,94,Percentage,%,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Residents within a 30 minute walk of their nearest library,2024-05-15,95,Percentage,%,,,,
E08000022,North Tyneside,Local Authority District,Residents within a 30 minute walk of their nearest library,2024-05-15,91,Percentage,%,,,,
E08000023,South Tyneside,Local Authority District,Residents within a 30 minute walk of their nearest library,2024-05-15,94,Percentage,%,,,,
E08000024,Sunderland,Local Authority District,Residents within a 30 minute walk of their nearest library,2024-05-15,64,Percentage,%,,,,
E12000002,North West,Region,Residents within a 30 minute walk of their nearest library,2024-05-15,83,Percentage,%,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,79,Percentage,%,,,,
E06000009,Blackpool,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,54,Percentage,%,,,,
E06000049,Cheshire East,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,63,Percentage,%,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Residents within a 30 minute walk of their nearest library,2024-05-15,72,Percentage,%,,,,
