AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,426.8864960546757,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,343.49506225848006,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,416.5091488343239,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N92000002,Northern Ireland,Nation,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,501.45477278902234,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,453.8696982947093,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,329.8844105805446,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,320.4189563989044,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,455.2664294594247,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,333.7707707887657,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,341.58433456287884,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,367.69255245806005,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,536.6276143771726,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2021-08-01T00:00:00/P1Y,342.23134839151265,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2020-08-01T00:00:00/P1Y,305.9949144507176,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,342.003940637371,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000003,Belfast,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,275.77428935086976,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2018-08-01T00:00:00/P1Y,431.64084685487603,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
N09000004,Causeway Coast and Glens,Local Authority District,Number of starts on apprenticeships (Northern Ireland),Apprenticeships starts (Northern Ireland),Mission 6,Spreading opportunity and improving public services,2019-08-01T00:00:00/P1Y,322.1453136563493,"Rate per 100,000 population","Rate per 100,000 population",,,,1,
