AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e92000001,England,Nation,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.07846,Percentage,%,,,,-1,
e12000001,North East,Region,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.9703,Percentage,%,,,,-1,
e06000047,County Durham,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.34737,Percentage,%,,,,-1,
e06000005,Darlington,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.87857,Percentage,%,,,,-1,
e06000001,Hartlepool,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,16.33809,Percentage,%,,,,-1,
e06000002,Middlesbrough,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,16.6714,Percentage,%,,,,-1,
e06000057,Northumberland,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.12234,Percentage,%,,,,-1,
e06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.98731,Percentage,%,,,,-1,
e06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.7852,Percentage,%,,,,-1,
e08000037,Gateshead,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,13.39238,Percentage,%,,,,-1,
e08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,16.07551,Percentage,%,,,,-1,
e08000022,North Tyneside,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,9.28855,Percentage,%,,,,-1,
e08000023,South Tyneside,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.5854,Percentage,%,,,,-1,
e08000024,Sunderland,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,13.49149,Percentage,%,,,,-1,
e12000002,North West ,Region,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.5522,Percentage,%,,,,-1,
e06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,13.65731,Percentage,%,,,,-1,
e06000009,Blackpool,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.02314,Percentage,%,,,,-1,
e06000049,Cheshire East,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.16132,Percentage,%,,,,-1,
e06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.49389,Percentage,%,,,,-1,
e06000006,Halton,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.93012,Percentage,%,,,,-1,
e06000007,Warrington,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,9.8801,Percentage,%,,,,-1,
e10000006,Cumbria ,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,9.68592,Percentage,%,,,,-1,
e08000001,Bolton,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,10.46082,Percentage,%,,,,-1,
e08000002,Bury,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.82244,Percentage,%,,,,-1,
e08000003,Manchester,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.09286,Percentage,%,,,,-1,
e08000004,Oldham ,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,15.9703,Percentage,%,,,,-1,
e08000005,Rochdale,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.66235,Percentage,%,,,,-1,
e08000006,Salford,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,16.68154,Percentage,%,,,,-1,
e08000007,Stockport,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.90055,Percentage,%,,,,-1,
e08000008,Tameside,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,10.21576,Percentage,%,,,,-1,
e08000009,Trafford,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,9.83842,Percentage,%,,,,-1,
e08000010,Wigan,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,12.17556,Percentage,%,,,,-1,
e10000017,Lancashire,County or Unitary Authority,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,11.45231,Percentage,%,,,,-1,
e08000011,Knowsley ,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,17.49703,Percentage,%,,,,-1,
e08000012,Liverpool,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.7994,Percentage,%,,,,-1,
e08000014,Sefton,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,13.37201,Percentage,%,,,,-1,
e08000013,St. Helens,Local Authority District,Persistent absences for all pupils,Persistent absences for all pupils,Mission 5,Spreading opportunity and improving public services,2020-08-01t00-00-00/p1y,14.65598,Percentage,%,,,,-1,
