Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
s01006506,S01006506,s01006506,,0,,http://statistics.data.gov.uk/id/statistical-geography/S01006506
s01006507,S01006507,s01006507,,1,,http://statistics.data.gov.uk/id/statistical-geography/S01006507
s01006508,S01006508,s01006508,,2,,http://statistics.data.gov.uk/id/statistical-geography/S01006508
s01006509,S01006509,s01006509,,3,,http://statistics.data.gov.uk/id/statistical-geography/S01006509
s01006510,S01006510,s01006510,,4,,http://statistics.data.gov.uk/id/statistical-geography/S01006510
s01006511,S01006511,s01006511,,5,,http://statistics.data.gov.uk/id/statistical-geography/S01006511
s01006512,S01006512,s01006512,,6,,http://statistics.data.gov.uk/id/statistical-geography/S01006512
s01006513,S01006513,s01006513,,7,,http://statistics.data.gov.uk/id/statistical-geography/S01006513
s01006514,S01006514,s01006514,,8,,http://statistics.data.gov.uk/id/statistical-geography/S01006514
s01006515,S01006515,s01006515,,9,,http://statistics.data.gov.uk/id/statistical-geography/S01006515
s01006516,S01006516,s01006516,,10,,http://statistics.data.gov.uk/id/statistical-geography/S01006516
s01006517,S01006517,s01006517,,11,,http://statistics.data.gov.uk/id/statistical-geography/S01006517
s01006518,S01006518,s01006518,,12,,http://statistics.data.gov.uk/id/statistical-geography/S01006518
s01006519,S01006519,s01006519,,13,,http://statistics.data.gov.uk/id/statistical-geography/S01006519
s01006520,S01006520,s01006520,,14,,http://statistics.data.gov.uk/id/statistical-geography/S01006520
s01006521,S01006521,s01006521,,15,,http://statistics.data.gov.uk/id/statistical-geography/S01006521
s01006522,S01006522,s01006522,,16,,http://statistics.data.gov.uk/id/statistical-geography/S01006522
s01006523,S01006523,s01006523,,17,,http://statistics.data.gov.uk/id/statistical-geography/S01006523
s01006524,S01006524,s01006524,,18,,http://statistics.data.gov.uk/id/statistical-geography/S01006524
s01006525,S01006525,s01006525,,19,,http://statistics.data.gov.uk/id/statistical-geography/S01006525
s01006526,S01006526,s01006526,,20,,http://statistics.data.gov.uk/id/statistical-geography/S01006526
s01006527,S01006527,s01006527,,21,,http://statistics.data.gov.uk/id/statistical-geography/S01006527
s01006528,S01006528,s01006528,,22,,http://statistics.data.gov.uk/id/statistical-geography/S01006528
s01006529,S01006529,s01006529,,23,,http://statistics.data.gov.uk/id/statistical-geography/S01006529
s01006530,S01006530,s01006530,,24,,http://statistics.data.gov.uk/id/statistical-geography/S01006530
s01006531,S01006531,s01006531,,25,,http://statistics.data.gov.uk/id/statistical-geography/S01006531
s01006532,S01006532,s01006532,,26,,http://statistics.data.gov.uk/id/statistical-geography/S01006532
s01006533,S01006533,s01006533,,27,,http://statistics.data.gov.uk/id/statistical-geography/S01006533
s01006534,S01006534,s01006534,,28,,http://statistics.data.gov.uk/id/statistical-geography/S01006534
s01006535,S01006535,s01006535,,29,,http://statistics.data.gov.uk/id/statistical-geography/S01006535
s01006536,S01006536,s01006536,,30,,http://statistics.data.gov.uk/id/statistical-geography/S01006536
s01006537,S01006537,s01006537,,31,,http://statistics.data.gov.uk/id/statistical-geography/S01006537
s01006538,S01006538,s01006538,,32,,http://statistics.data.gov.uk/id/statistical-geography/S01006538
s01006539,S01006539,s01006539,,33,,http://statistics.data.gov.uk/id/statistical-geography/S01006539
s01006540,S01006540,s01006540,,34,,http://statistics.data.gov.uk/id/statistical-geography/S01006540
s01006541,S01006541,s01006541,,35,,http://statistics.data.gov.uk/id/statistical-geography/S01006541
s01006542,S01006542,s01006542,,36,,http://statistics.data.gov.uk/id/statistical-geography/S01006542
s01006543,S01006543,s01006543,,37,,http://statistics.data.gov.uk/id/statistical-geography/S01006543
s01006544,S01006544,s01006544,,38,,http://statistics.data.gov.uk/id/statistical-geography/S01006544
s01006545,S01006545,s01006545,,39,,http://statistics.data.gov.uk/id/statistical-geography/S01006545
s01006546,S01006546,s01006546,,40,,http://statistics.data.gov.uk/id/statistical-geography/S01006546
s01006547,S01006547,s01006547,,41,,http://statistics.data.gov.uk/id/statistical-geography/S01006547
s01006548,S01006548,s01006548,,42,,http://statistics.data.gov.uk/id/statistical-geography/S01006548
s01006549,S01006549,s01006549,,43,,http://statistics.data.gov.uk/id/statistical-geography/S01006549
s01006550,S01006550,s01006550,,44,,http://statistics.data.gov.uk/id/statistical-geography/S01006550
s01006551,S01006551,s01006551,,45,,http://statistics.data.gov.uk/id/statistical-geography/S01006551
s01006552,S01006552,s01006552,,46,,http://statistics.data.gov.uk/id/statistical-geography/S01006552
s01006553,S01006553,s01006553,,47,,http://statistics.data.gov.uk/id/statistical-geography/S01006553
s01006554,S01006554,s01006554,,48,,http://statistics.data.gov.uk/id/statistical-geography/S01006554
s01006555,S01006555,s01006555,,49,,http://statistics.data.gov.uk/id/statistical-geography/S01006555
s01006556,S01006556,s01006556,,50,,http://statistics.data.gov.uk/id/statistical-geography/S01006556
s01006557,S01006557,s01006557,,51,,http://statistics.data.gov.uk/id/statistical-geography/S01006557
s01006558,S01006558,s01006558,,52,,http://statistics.data.gov.uk/id/statistical-geography/S01006558
s01006559,S01006559,s01006559,,53,,http://statistics.data.gov.uk/id/statistical-geography/S01006559
s01006560,S01006560,s01006560,,54,,http://statistics.data.gov.uk/id/statistical-geography/S01006560
s01006561,S01006561,s01006561,,55,,http://statistics.data.gov.uk/id/statistical-geography/S01006561
