indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Male healthy life expectancy,K02000001,United Kingdom,Country,62.83,yrs,Years,2018-20,62.65,63,
Male healthy life expectancy,K02000001,United Kingdom,Country,62.9,yrs,Years,2017-19,62.74,63.05,
Male healthy life expectancy,K02000001,United Kingdom,Country,63.09,yrs,Years,2016-18,62.94,63.24,
Male healthy life expectancy,K02000001,United Kingdom,Country,63.13,yrs,Years,2015-17,62.98,63.28,
Male healthy life expectancy,K02000001,United Kingdom,Country,63.04,yrs,Years,2014-16,62.9,63.19,
Male healthy life expectancy,K02000001,United Kingdom,Country,63.09,yrs,Years,2013-15,62.95,63.24,
Male healthy life expectancy,K02000001,United Kingdom,Country,62.9,yrs,Years,2011-13,62.75,63.04,
Male healthy life expectancy,K02000001,United Kingdom,Country,63.08,yrs,Years,2012-14,62.93,63.22,
Male healthy life expectancy,E92000001,England,Nation,63.18,yrs,Years,2011-13,63.02,63.34,
Male healthy life expectancy,E92000001,England,Nation,63.38,yrs,Years,2013-15,63.21,63.54,
Male healthy life expectancy,E92000001,England,Nation,63.31,yrs,Years,2014-16,63.14,63.47,
Male healthy life expectancy,E92000001,England,Nation,63.38,yrs,Years,2015-17,63.21,63.55,
Male healthy life expectancy,E92000001,England,Nation,63.36,yrs,Years,2016-18,63.19,63.53,
Male healthy life expectancy,E92000001,England,Nation,63.18,yrs,Years,2017-19,63.01,63.36,
Male healthy life expectancy,E92000001,England,Nation,63.37,yrs,Years,2012-14,63.21,63.54,
Male healthy life expectancy,E92000001,England,Nation,63.14,yrs,Years,2018-20,62.94,63.34,
Male healthy life expectancy,E12000001,North East,Region,59.56,yrs,Years,2013-15,58.98,60.13,
Male healthy life expectancy,E12000001,North East,Region,59.6,yrs,Years,2012-14,59.05,60.15,
Male healthy life expectancy,E12000001,North East,Region,59.63,yrs,Years,2014-16,59.05,60.22,
Male healthy life expectancy,E12000001,North East,Region,59.52,yrs,Years,2015-17,58.92,60.11,
Male healthy life expectancy,E12000001,North East,Region,59.36,yrs,Years,2016-18,58.75,59.97,
Male healthy life expectancy,E12000001,North East,Region,59.37,yrs,Years,2017-19,58.77,59.97,
Male healthy life expectancy,E12000001,North East,Region,59.07,yrs,Years,2018-20,58.41,59.74,
Male healthy life expectancy,E12000001,North East,Region,59.31,yrs,Years,2011-13,58.76,59.85,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,58.82,yrs,Years,2018-20,57.84,59.8,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,58.42,yrs,Years,2017-19,57.55,59.29,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,58.74,yrs,Years,2016-18,57.84,59.64,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,58.07,yrs,Years,2015-17,57.16,58.98,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,58.86,yrs,Years,2014-16,58,59.73,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,59.78,yrs,Years,2013-15,58.94,60.61,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,59.72,yrs,Years,2012-14,58.92,60.52,
Male healthy life expectancy,E47000006,Tees Valley,Combined Authority or City Region,59.8,yrs,Years,2011-13,59.02,60.58,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,58.67,yrs,Years,2015-17,57.7,59.65,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,59.06,yrs,Years,2016-18,58.08,60.05,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,58.86,yrs,Years,2017-19,57.86,59.86,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,57.69,yrs,Years,2018-20,56.58,58.81,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,58.22,yrs,Years,2011-13,57.29,59.14,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,58.82,yrs,Years,2012-14,57.9,59.73,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,57.9,yrs,Years,2013-15,56.92,58.87,
Male healthy life expectancy,E47000010,North East,Combined Authority or City Region,58.8,yrs,Years,2014-16,57.84,59.75,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,61.21,yrs,Years,2018-20,60.02,62.4,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,60.47,yrs,Years,2016-18,59.36,61.58,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,60.92,yrs,Years,2017-19,59.82,62.01,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,61.87,yrs,Years,2014-16,60.84,62.91,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,60.55,yrs,Years,2011-13,59.57,61.52,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,62.05,yrs,Years,2015-17,61.01,63.09,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,60.68,yrs,Years,2012-14,59.71,61.66,
Male healthy life expectancy,E47000011,North of Tyne,Combined Authority or City Region,61.89,yrs,Years,2013-15,60.92,62.87,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,58.38,yrs,Years,2011-13,56.75,60.01,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,58.76,yrs,Years,2018-20,56.96,60.57,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,59.38,yrs,Years,2012-14,57.79,60.96,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,59.12,yrs,Years,2014-16,57.4,60.83,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,58.02,yrs,Years,2013-15,56.25,59.79,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,59.29,yrs,Years,2016-18,57.52,61.06,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,59.6,yrs,Years,2017-19,57.82,61.38,
Male healthy life expectancy,E06000047,County Durham,County or Unitary Authority,58.94,yrs,Years,2015-17,57.2,60.68,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,59.49,yrs,Years,2018-20,57.25,61.73,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,58.09,yrs,Years,2017-19,56.2,59.97,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,61.05,yrs,Years,2014-16,59.19,62.92,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,61.83,yrs,Years,2013-15,60.11,63.55,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,62.18,yrs,Years,2012-14,60.47,63.9,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,63.44,yrs,Years,2011-13,61.78,65.09,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,60.7,yrs,Years,2015-17,58.88,62.52,
Male healthy life expectancy,E06000005,Darlington,County or Unitary Authority,60.3,yrs,Years,2016-18,58.46,62.13,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,56.28,yrs,Years,2011-13,54.63,57.94,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,55.78,yrs,Years,2012-14,54.06,57.5,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,56.96,yrs,Years,2013-15,55.32,58.61,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,57.64,yrs,Years,2014-16,55.98,59.31,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,57.4,yrs,Years,2015-17,55.77,59.03,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,58.13,yrs,Years,2016-18,56.4,59.85,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,57.03,yrs,Years,2017-19,55.25,58.82,
Male healthy life expectancy,E06000001,Hartlepool,County or Unitary Authority,57.58,yrs,Years,2018-20,55.48,59.67,
Male healthy life expectancy,E06000002,Middlesbrough,County or Unitary Authority,57.82,yrs,Years,2014-16,56.02,59.61,
Male healthy life expectancy,E06000002,Middlesbrough,County or Unitary Authority,58.83,yrs,Years,2018-20,56.9,60.77,
Male healthy life expectancy,E06000002,Middlesbrough,County or Unitary Authority,58.53,yrs,Years,2017-19,56.81,60.26,
Male healthy life expectancy,E06000002,Middlesbrough,County or Unitary Authority,57.82,yrs,Years,2016-18,56.03,59.62,
Male healthy life expectancy,E06000002,Middlesbrough,County or Unitary Authority,58.06,yrs,Years,2015-17,56.25,59.87,
