AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,11.8,Percentage,%,11.6,11.9,,-1,
K02000001,United Kingdom,Country,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,12.5,Percentage,%,12.4,12.6,,-1,
E92000001,England,Nation,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,11.5,Percentage,%,11.4,11.7,,-1,
E92000001,England,Nation,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,12.2,Percentage,%,12.1,12.4,,-1,
E06000047,County Durham,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.5,Percentage,%,13.2,15.8,,-1,
E06000047,County Durham,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.9,Percentage,%,11.6,14.2,,-1,
E06000005,Darlington,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,9.7,Percentage,%,8.5,10.8,,-1,
E06000005,Darlington,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,10.8,Percentage,%,9.6,11.9,,-1,
E06000001,Hartlepool,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,14.7,Percentage,%,13.2,16.2,,-1,
E06000001,Hartlepool,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,15.6,Percentage,%,14.2,17.0,,-1,
E06000002,Middlesbrough,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,15.7,Percentage,%,13.9,17.4,,-1,
E06000002,Middlesbrough,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,16.3,Percentage,%,14.5,18.0,,-1,
E06000057,Northumberland,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,9.6,Percentage,%,8.4,10.8,,-1,
E06000057,Northumberland,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,10.6,Percentage,%,9.4,11.7,,-1,
E06000003,Redcar and Cleveland,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,13.7,Percentage,%,12.3,15.0,,-1,
E06000003,Redcar and Cleveland,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,13.4,Percentage,%,11.9,14.8,,-1,
E06000004,Stockton-on-Tees,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,10.7,Percentage,%,9.3,12.1,,-1,
E06000004,Stockton-on-Tees,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,11.1,Percentage,%,9.8,12.4,,-1,
E08000037,Gateshead,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,12.5,Percentage,%,11.2,13.9,,-1,
E08000037,Gateshead,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,10.8,Percentage,%,9.4,12.1,,-1,
E08000021,Newcastle upon Tyne,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.1,Percentage,%,10.6,13.5,,-1,
E08000021,Newcastle upon Tyne,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,12.6,Percentage,%,11.1,14.0,,-1,
E08000022,North Tyneside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,11.7,Percentage,%,10.3,13.0,,-1,
E08000022,North Tyneside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,12.6,Percentage,%,11.3,13.9,,-1,
E08000023,South Tyneside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,14.5,Percentage,%,13.0,16.0,,-1,
E08000023,South Tyneside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.8,Percentage,%,13.4,16.2,,-1,
E08000024,Sunderland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.8,Percentage,%,11.5,14.1,,-1,
E08000024,Sunderland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.2,Percentage,%,12.9,15.4,,-1,
E06000008,Blackburn with Darwen,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,15.8,Percentage,%,14.2,17.4,,-1,
E06000008,Blackburn with Darwen,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,15.3,Percentage,%,13.6,17.0,,-1,
E06000009,Blackpool,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,20.2,Percentage,%,18.6,21.8,,-1,
E06000009,Blackpool,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,19.7,Percentage,%,18.0,21.4,,-1,
E06000049,Cheshire East,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,10.2,Percentage,%,8.7,11.7,,-1,
E06000049,Cheshire East,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,8.7,Percentage,%,7.3,10.1,,-1,
E06000050,Cheshire West and Chester,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,9.6,Percentage,%,7.8,11.4,,-1,
E06000050,Cheshire West and Chester,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,10.0,Percentage,%,8.3,11.8,,-1,
E06000006,Halton,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,13.1,Percentage,%,11.5,14.6,,-1,
E06000006,Halton,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,11.8,Percentage,%,10.3,13.4,,-1,
E06000007,Warrington,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,8.2,Percentage,%,6.7,9.7,,-1,
E06000007,Warrington,County or Unitary Authority,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,9.4,Percentage,%,8.0,10.8,,-1,
E07000026,Allerdale,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.8,Percentage,%,10.3,15.2,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000026,Allerdale,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,13.2,Percentage,%,10.8,15.6,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000027,Barrow-in-Furness,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,16.2,Percentage,%,12.8,19.6,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E07000027,Barrow-in-Furness,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,14.7,Percentage,%,11.4,17.9,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E07000028,Carlisle,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,13.1,Percentage,%,10.5,15.7,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000028,Carlisle,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,13.9,Percentage,%,11.3,16.6,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000029,Copeland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,13.4,Percentage,%,9.9,16.8,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000029,Copeland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,13.6,Percentage,%,10.3,17.0,,-1,Obsolete code since 2023 (replaced by E06000063 Cumberland)
E07000030,Eden,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,7.0,Percentage,%,4.5,9.5,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E07000030,Eden,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,7.0,Percentage,%,4.6,9.4,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E07000031,South Lakeland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,9.4,Percentage,%,7.2,11.6,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E07000031,South Lakeland,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,7.8,Percentage,%,5.7,9.8,,-1,Obsolete code since 2023 (replaced by E06000064 Westmorland and Furness)
E08000001,Bolton,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,15.1,Percentage,%,13.3,17.0,,-1,
E08000001,Bolton,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,14.2,Percentage,%,12.3,16.1,,-1,
E08000002,Bury,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,11.0,Percentage,%,9.7,12.2,,-1,
E08000002,Bury,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,10.6,Percentage,%,9.2,11.9,,-1,
E08000003,Manchester,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,16.1,Percentage,%,14.4,17.7,,-1,
E08000003,Manchester,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,15.6,Percentage,%,13.8,17.4,,-1,
E08000004,Oldham,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.5,Percentage,%,11.0,14.1,,-1,
E08000004,Oldham,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.1,Percentage,%,12.6,15.6,,-1,
E08000005,Rochdale,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,13.8,Percentage,%,12.3,15.3,,-1,
E08000005,Rochdale,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.5,Percentage,%,13.0,16.0,,-1,
E08000006,Salford,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,13.3,Percentage,%,11.6,15.0,,-1,
E08000006,Salford,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.8,Percentage,%,13.2,16.4,,-1,
E08000007,Stockport,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,11.9,Percentage,%,10.4,13.4,,-1,
E08000007,Stockport,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,10.9,Percentage,%,9.4,12.5,,-1,
E08000008,Tameside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,16.5,Percentage,%,14.8,18.1,,-1,
E08000008,Tameside,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,17.3,Percentage,%,15.8,18.9,,-1,
E08000009,Trafford,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,8.6,Percentage,%,7.3,10.0,,-1,
E08000009,Trafford,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,9.0,Percentage,%,7.7,10.2,,-1,
E08000010,Wigan,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,12.8,Percentage,%,11.2,14.5,,-1,
E08000010,Wigan,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,14.0,Percentage,%,12.5,15.5,,-1,
E07000117,Burnley,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2020-01-01/P5Y,16.3,Percentage,%,11.8,20.8,,-1,
E07000117,Burnley,Local Authority District,Cigarette smokers,Adults that currently smoke cigarettes,2019-01-01/P5Y,18.9,Percentage,%,14.3,23.5,,-1,
