AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,1083975,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1769316,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,1753307,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,1651752,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,1453071,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,1369138,Pounds,£ million,na,na,,1,
K02000001,United Kingdom,Country,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,1274595,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,3022,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2597,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,46752,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,27718,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,24720,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,16075,Pounds,£ million,na,na,,1,
K99000001,UK not allocated,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,34911,Pounds,£ million,na,na,,1,
TLC,North East,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,18069,Pounds,£ million,na,na,,1,
TLC,North East,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,19089,Pounds,£ million,na,na,,1,
TLC,North East,ITL Level 1,Outward foreign direct investment (FDI),Outward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,20185,Pounds,£ million,na,na,,1,
