areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,Gigabit capable broadband,2025-07-01,85.9,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
K03000001,Great Britain,Country,Gigabit capable broadband,2025-07-01,85.7,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
K04000001,England and Wales,Country,Gigabit capable broadband,2025-07-01,86.3,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E92000001,England,Nation,Gigabit capable broadband,2025-07-01,86.7,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E12000001,North East,Region,Gigabit capable broadband,2025-07-01,88.3,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E47000006,Tees Valley,Combined Authority or City Region,Gigabit capable broadband,2025-07-01,92.6,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E47000014,North East,Combined Authority or City Region,Gigabit capable broadband,2025-07-01,86.8,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E06000047,County Durham,County or Unitary Authority,Gigabit capable broadband,2025-07-01,81.9,Percentage,%,,,,
E06000005,Darlington,County or Unitary Authority,Gigabit capable broadband,2025-07-01,91.0,Percentage,%,,,,
E06000001,Hartlepool,County or Unitary Authority,Gigabit capable broadband,2025-07-01,96.0,Percentage,%,,,,
E06000002,Middlesbrough,County or Unitary Authority,Gigabit capable broadband,2025-07-01,94.7,Percentage,%,,,,
E06000057,Northumberland,County or Unitary Authority,Gigabit capable broadband,2025-07-01,79.5,Percentage,%,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Gigabit capable broadband,2025-07-01,90.2,Percentage,%,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Gigabit capable broadband,2025-07-01,91.8,Percentage,%,,,,
E08000037,Gateshead,Local Authority District,Gigabit capable broadband,2025-07-01,87.1,Percentage,%,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Gigabit capable broadband,2025-07-01,92.4,Percentage,%,,,,
E08000022,North Tyneside,Local Authority District,Gigabit capable broadband,2025-07-01,93.3,Percentage,%,,,,
E08000023,South Tyneside,Local Authority District,Gigabit capable broadband,2025-07-01,89.1,Percentage,%,,,,
E08000024,Sunderland,Local Authority District,Gigabit capable broadband,2025-07-01,92.9,Percentage,%,,,,
E12000002,North West,Region,Gigabit capable broadband,2025-07-01,89.6,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E06000008,Blackburn with Darwen,County or Unitary Authority,Gigabit capable broadband,2025-07-01,91.2,Percentage,%,,,,
E06000009,Blackpool,County or Unitary Authority,Gigabit capable broadband,2025-07-01,91.4,Percentage,%,,,,
E06000049,Cheshire East,County or Unitary Authority,Gigabit capable broadband,2025-07-01,82.9,Percentage,%,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Gigabit capable broadband,2025-07-01,86.6,Percentage,%,,,,
E06000006,Halton,County or Unitary Authority,Gigabit capable broadband,2025-07-01,94.4,Percentage,%,,,,
E06000007,Warrington,County or Unitary Authority,Gigabit capable broadband,2025-07-01,96.0,Percentage,%,,,,
E06000063,Cumberland,County or Unitary Authority,Gigabit capable broadband,2025-07-01,73.2,Percentage,%,,,,
E06000064,Westmorland and Furness,County or Unitary Authority,Gigabit capable broadband,2025-07-01,76.9,Percentage,%,,,,
E47000001,Greater Manchester,Combined Authority or City Region,Gigabit capable broadband,2025-07-01,93.2,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E08000001,Bolton,Local Authority District,Gigabit capable broadband,2025-07-01,94.4,Percentage,%,,,,
E08000002,Bury,Local Authority District,Gigabit capable broadband,2025-07-01,92.9,Percentage,%,,,,
E08000003,Manchester,Local Authority District,Gigabit capable broadband,2025-07-01,89.6,Percentage,%,,,,
E08000004,Oldham,Local Authority District,Gigabit capable broadband,2025-07-01,97.0,Percentage,%,,,,
E08000005,Rochdale,Local Authority District,Gigabit capable broadband,2025-07-01,88.5,Percentage,%,,,,
E08000006,Salford,Local Authority District,Gigabit capable broadband,2025-07-01,93.8,Percentage,%,,,,
E08000007,Stockport,Local Authority District,Gigabit capable broadband,2025-07-01,94.4,Percentage,%,,,,
E08000008,Tameside,Local Authority District,Gigabit capable broadband,2025-07-01,94.7,Percentage,%,,,,
E08000009,Trafford,Local Authority District,Gigabit capable broadband,2025-07-01,93.3,Percentage,%,,,,
E08000010,Wigan,Local Authority District,Gigabit capable broadband,2025-07-01,95.9,Percentage,%,,,,
E47000018,Lancashire,Combined Authority or City Region,Gigabit capable broadband,2025-07-01,89.3,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E10000017,Lancashire,County or Unitary Authority,Gigabit capable broadband,2025-07-01,88.8,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E07000117,Burnley,Local Authority District,Gigabit capable broadband,2025-07-01,95.6,Percentage,%,,,,
E07000118,Chorley,Local Authority District,Gigabit capable broadband,2025-07-01,90.7,Percentage,%,,,,
E07000119,Fylde,Local Authority District,Gigabit capable broadband,2025-07-01,92.9,Percentage,%,,,,
E07000120,Hyndburn,Local Authority District,Gigabit capable broadband,2025-07-01,93.9,Percentage,%,,,,
E07000121,Lancaster,Local Authority District,Gigabit capable broadband,2025-07-01,88.0,Percentage,%,,,,
E07000122,Pendle,Local Authority District,Gigabit capable broadband,2025-07-01,92.7,Percentage,%,,,,
E07000123,Preston,Local Authority District,Gigabit capable broadband,2025-07-01,87.6,Percentage,%,,,,
E07000124,Ribble Valley,Local Authority District,Gigabit capable broadband,2025-07-01,83.3,Percentage,%,,,,
E07000125,Rossendale,Local Authority District,Gigabit capable broadband,2025-07-01,92.2,Percentage,%,,,,
E07000126,South Ribble,Local Authority District,Gigabit capable broadband,2025-07-01,82.5,Percentage,%,,,,
