AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,1929163,Pounds,£,na,na,,1,
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,1640440,Pounds,£,na,na,,1,
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,1572819,Pounds,£,na,na,,1,
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,1032534,Pounds,£,na,na,,1,
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,1392497,Pounds,£,na,na,,1,
UK,United Kingdom,Country,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,1187303,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,136057,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,185836,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,176843,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,79168,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,143348,Pounds,£,na,na,,1,
TLX,UK not allocated,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,31485,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,15280,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,17231,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,23311,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,24261,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,23162,Pounds,£,na,na,,1,
TLC,North East,ITL Level 1,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,29612,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,10652,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,12828,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,13188,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,5929,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,6083,Pounds,£,na,na,,1,
TLC1,Tees Valley and Durham,ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,13050,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2019,8725,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,9882,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2020,10743,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,4587,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,4423,Pounds,£,na,na,,1,
na,Tees Valley Combined Authority,Combined Authority or City Region,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,9740,Pounds,£,na,na,,1,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2015,9197,Pounds,£,na,na,,1,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2016,11303,Pounds,£,na,na,,1,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2017,10261,Pounds,£,na,na,,1,
TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,Inward foreign direct investment (FDI),Inward foreign direct investment (FDI),Mission 1,"Boosting productivity, pay, jobs and living standards",2018,11433,Pounds,£,na,na,,1,
