AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2016-01-01/P1Y,49.8,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2017-01-01/P1Y,51.2,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2018-01-01/P1Y,54.1,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2019-01-01/P1Y,55.6,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2020-01-01/P1Y,56.0,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2021-01-01/P1Y,59.9,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2022-01-01/P1Y,57.2,Percentage,%,,,,1,
N92000002,Northern Ireland,Nation,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2023-01-01/P1Y,59.2,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2023-01-01/P1Y,62.2,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2022-01-01/P1Y,57.5,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2021-01-01/P1Y,64.0,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2020-01-01/P1Y,60.8,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2017-01-01/P1Y,54.0,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2018-01-01/P1Y,56.1,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2016-01-01/P1Y,49.4,Percentage,%,,,,1,
N09000001,Antrim and Newtownabbey,Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2019-01-01/P1Y,61.0,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2022-01-01/P1Y,56.7,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2023-01-01/P1Y,60.3,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2020-01-01/P1Y,54.3,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2021-01-01/P1Y,57.3,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2018-01-01/P1Y,52.5,Percentage,%,,,,1,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Level 3 or above qualifications (Northern Ireland),Proportion of the population aged 16 – 64 with level 3+ qualifications (Northern Ireland),2019-01-01/P1Y,51.6,Percentage,%,,,,1,
