AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.4,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
K03000001,Great Britain,Country,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.4,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
K04000001,England and Wales,Country,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.3,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E92000001,England,Nation,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.2,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E12000001,North East,Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.2,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E47000006,Tees Valley,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.1,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E47000014,North East,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.2,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E06000047,County Durham,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.5,Percentage,%,,,,1,
E06000005,Darlington,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.6,Percentage,%,,,,1,
E06000001,Hartlepool,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.2,Percentage,%,,,,1,
E06000002,Middlesbrough,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.5,Percentage,%,,,,1,
E06000057,Northumberland,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,4.1,Percentage,%,,,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.7,Percentage,%,,,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,3.1,Percentage,%,,,,1,
E08000037,Gateshead,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.3,Percentage,%,,,,1,
E08000021,Newcastle upon Tyne,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.9,Percentage,%,,,,1,
E08000022,North Tyneside,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.4,Percentage,%,,,,1,
E08000023,South Tyneside,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.3,Percentage,%,,,,1,
E08000024,Sunderland,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.7,Percentage,%,,,,1,
E12000002,North West,Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.8,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E06000008,Blackburn with Darwen,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.4,Percentage,%,,,,1,
E06000009,Blackpool,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.4,Percentage,%,,,,1,
E06000049,Cheshire East,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,3.3,Percentage,%,,,,1,
E06000050,Cheshire West and Chester,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.6,Percentage,%,,,,1,
E06000006,Halton,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.6,Percentage,%,,,,1,
E06000007,Warrington,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.0,Percentage,%,,,,1,
E06000063,Cumberland,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,4.4,Percentage,%,,,,1,
E06000064,Westmorland and Furness,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,5.0,Percentage,%,,,,1,
E47000001,Greater Manchester,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.2,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E08000001,Bolton,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.8,Percentage,%,,,,1,
E08000002,Bury,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.6,Percentage,%,,,,1,
E08000003,Manchester,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.1,Percentage,%,,,,1,
E08000004,Oldham,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.5,Percentage,%,,,,1,
E08000005,Rochdale,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.1,Percentage,%,,,,1,
E08000006,Salford,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.4,Percentage,%,,,,1,
E08000007,Stockport,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.8,Percentage,%,,,,1,
E08000008,Tameside,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.7,Percentage,%,,,,1,
E08000009,Trafford,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.7,Percentage,%,,,,1,
E08000010,Wigan,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.7,Percentage,%,,,,1,
E47000018,Lancashire,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.7,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E10000017,Lancashire,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.0,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E07000117,Burnley,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.0,Percentage,%,,,,1,
E07000118,Chorley,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.9,Percentage,%,,,,1,
E07000119,Fylde,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.3,Percentage,%,,,,1,
E07000120,Hyndburn,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.1,Percentage,%,,,,1,
E07000121,Lancaster,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.4,Percentage,%,,,,1,
E07000122,Pendle,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.6,Percentage,%,,,,1,
E07000123,Preston,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.0,Percentage,%,,,,1,
E07000124,Ribble Valley,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,5.5,Percentage,%,,,,1,
E07000125,Rossendale,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.5,Percentage,%,,,,1,
E07000126,South Ribble,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.1,Percentage,%,,,,1,
E07000127,West Lancashire,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,3.1,Percentage,%,,,,1,
E07000128,Wyre,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.8,Percentage,%,,,,1,
E47000004,Liverpool City Region,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.3,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E08000011,Knowsley,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.7,Percentage,%,,,,1,
E08000012,Liverpool,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.7,Percentage,%,,,,1,
E08000014,Sefton,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.5,Percentage,%,,,,1,
E08000013,St. Helens,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.3,Percentage,%,,,,1,
E08000015,Wirral,Local Authority District,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.5,Percentage,%,,,,1,
E12000003,Yorkshire and The Humber,Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,2.0,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E47000016,Hull and East Yorkshire,Combined Authority or City Region,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.1,Percentage,%,,,,1,This data has been aggregated and may show differences to other published figures
E06000011,East Riding of Yorkshire,County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,1.9,Percentage,%,,,,1,
E06000010,"Kingston upon Hull, City of",County or Unitary Authority,Premises below 30Mbps,Premises below 30Mbps,2025-01-15,0.0,Percentage,%,,,,1,
