AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E92000001,England,Nation,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,202021,23.20222,Percentage,%,na,na,,-1,
E92000001,England,Nation,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201819,20.37804,Percentage,%,na,na,,-1,
E92000001,England,Nation,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201718,20.56852,Percentage,%,na,na,,-1,
E92000001,England,Nation,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,202122,36.52231,Percentage,%,na,na,,-1,
E12000001,North East,Region,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201819,21.22467,Percentage,%,na,na,,-1,
E12000001,North East,Region,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,202122,37.98465,Percentage,%,na,na,,-1,
E12000001,North East,Region,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201718,21.20165,Percentage,%,na,na,,-1,
E12000001,North East,Region,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,202021,23.01075,Percentage,%,na,na,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201718,20.18466,Percentage,%,na,na,,-1,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils who are looked after continuously for at least 12 months by local authorities,Persistent absences for pupils looked after continuously for at least 12 months by local authorities,Mission 5,Spreading opportunity and improving public services,201819,19.91365,Percentage,%,na,na,,-1,
