areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes,notes
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.49488,Percentage,%,,,,,
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.11006,Percentage,%,,,,,
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.52231,Percentage,%,,,,,
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.20222,Percentage,%,,,,,
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.37804,Percentage,%,,,,,
E92000001,England,Nation,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.56852,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.65917,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.16383,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,37.98465,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.01075,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.22467,Percentage,%,,,,,
E12000001,North East,Region,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.20165,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.18466,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,22.341279999999998,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.91365,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,38.03265,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.962340000000005,Percentage,%,,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,37.33533,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.83009,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,21.26717,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,22.8833,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.34597,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.15116,Percentage,%,,,,,
E06000005,Darlington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,38.15412,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.527570000000004,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.272079999999995,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,35.416290000000004,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,26.5793,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.70182,Percentage,%,,,,,
E06000001,Hartlepool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,23.38044,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,22.92909,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,22.28565,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.86576,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.41835,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.8631,Percentage,%,,,,,
E06000002,Middlesbrough,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,37.98258,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.16384,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.58644,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.36235,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,24.58239,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.01517,Percentage,%,,,,,
E06000057,Northumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.78194,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.73979,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,23.367179999999998,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,21.004,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,33.49872,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,33.51648,Percentage,%,,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,35.78626,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.597929999999998,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.96105,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.164479999999998,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.07083,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.40975,Percentage,%,,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.59891,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,22.86593,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.38442,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.698879999999996,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.9974,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,24.01941,Percentage,%,,,,,
E08000037,Gateshead,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.14085,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.65065,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.335520000000002,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,25.16476,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.78235,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,37.45507,Percentage,%,,,,,
E08000021,Newcastle upon Tyne,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,33.88769,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.18083,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,33.70305,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.973459999999996,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,18.681910000000002,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.046229999999998,Percentage,%,,,,,
E08000022,North Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.05235,Percentage,%,,,,,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,18.72643,Percentage,%,,,,,
