Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
e09000002,Barking and Dagenham,E09000002,,0,,http://statistics.data.gov.uk/id/statistical-geography/E09000002
e09000003,Barnet,E09000003,,1,,http://statistics.data.gov.uk/id/statistical-geography/E09000003
e08000016,Barnsley,E08000016,,2,,http://statistics.data.gov.uk/id/statistical-geography/E08000016
e06000022,Bath and North East Somerset,E06000022,,3,,http://statistics.data.gov.uk/id/statistical-geography/E06000022
e06000055,Bedford,E06000055,,4,,http://statistics.data.gov.uk/id/statistical-geography/E06000055
e09000004,Bexley,E09000004,,5,,http://statistics.data.gov.uk/id/statistical-geography/E09000004
e08000025,Birmingham,E08000025,,6,,http://statistics.data.gov.uk/id/statistical-geography/E08000025
e06000008,Blackburn with Darwen,E06000008,,7,,http://statistics.data.gov.uk/id/statistical-geography/E06000008
e06000009,Blackpool,E06000009,,8,,http://statistics.data.gov.uk/id/statistical-geography/E06000009
e08000001,Bolton,E08000001,,9,,http://statistics.data.gov.uk/id/statistical-geography/E08000001
e06000028,Bournemouth,E06000028,,10,,http://statistics.data.gov.uk/id/statistical-geography/E06000028
e06000058,"Bournemouth, Christchurch and Poole",E06000058,,11,,http://statistics.data.gov.uk/id/statistical-geography/E06000058
e06000036,Bracknell Forest,E06000036,,12,,http://statistics.data.gov.uk/id/statistical-geography/E06000036
e08000032,Bradford,E08000032,,13,,http://statistics.data.gov.uk/id/statistical-geography/E08000032
e09000005,Brent,E09000005,,14,,http://statistics.data.gov.uk/id/statistical-geography/E09000005
e06000043,Brighton and Hove,E06000043,,15,,http://statistics.data.gov.uk/id/statistical-geography/E06000043
e06000023,"Bristol, City of",E06000023,,16,,http://statistics.data.gov.uk/id/statistical-geography/E06000023
e09000006,Bromley,E09000006,,17,,http://statistics.data.gov.uk/id/statistical-geography/E09000006
e06000060,Buckinghamshire,E06000060,,18,,http://statistics.data.gov.uk/id/statistical-geography/E06000060
e08000002,Bury,E08000002,,19,,http://statistics.data.gov.uk/id/statistical-geography/E08000002
e08000033,Calderdale,E08000033,,20,,http://statistics.data.gov.uk/id/statistical-geography/E08000033
e10000003,Cambridgeshire,E10000003,,21,,http://statistics.data.gov.uk/id/statistical-geography/E10000003
e09000007,Camden,E09000007,,22,,http://statistics.data.gov.uk/id/statistical-geography/E09000007
e06000056,Central Bedfordshire,E06000056,,23,,http://statistics.data.gov.uk/id/statistical-geography/E06000056
e06000049,Cheshire East,E06000049,,24,,http://statistics.data.gov.uk/id/statistical-geography/E06000049
e06000050,Cheshire West and Chester,E06000050,,25,,http://statistics.data.gov.uk/id/statistical-geography/E06000050
e09000001,City of London,E09000001,,26,,http://statistics.data.gov.uk/id/statistical-geography/E09000001
e06000052,Cornwall,E06000052,,27,,http://statistics.data.gov.uk/id/statistical-geography/E06000052
e06000047,County Durham,E06000047,,28,,http://statistics.data.gov.uk/id/statistical-geography/E06000047
e08000026,Coventry,E08000026,,29,,http://statistics.data.gov.uk/id/statistical-geography/E08000026
e09000008,Croydon,E09000008,,30,,http://statistics.data.gov.uk/id/statistical-geography/E09000008
e10000006,Cumbria,E10000006,,31,,http://statistics.data.gov.uk/id/statistical-geography/E10000006
e06000005,Darlington,E06000005,,32,,http://statistics.data.gov.uk/id/statistical-geography/E06000005
e06000015,Derby,E06000015,,33,,http://statistics.data.gov.uk/id/statistical-geography/E06000015
e10000007,Derbyshire,E10000007,,34,,http://statistics.data.gov.uk/id/statistical-geography/E10000007
e10000008,Devon,E10000008,,35,,http://statistics.data.gov.uk/id/statistical-geography/E10000008
e08000017,Doncaster,E08000017,,36,,http://statistics.data.gov.uk/id/statistical-geography/E08000017
e10000009,Dorset (County),E10000009,,37,,http://statistics.data.gov.uk/id/statistical-geography/E10000009
e06000059,Dorset (Unitary Authority),E06000059,,38,,http://statistics.data.gov.uk/id/statistical-geography/E06000059
e08000027,Dudley,E08000027,,39,,http://statistics.data.gov.uk/id/statistical-geography/E08000027
e09000009,Ealing,E09000009,,40,,http://statistics.data.gov.uk/id/statistical-geography/E09000009
e12000004,East Midlands,E12000004,,41,,http://statistics.data.gov.uk/id/statistical-geography/E12000004
e06000011,East Riding of Yorkshire,E06000011,,42,,http://statistics.data.gov.uk/id/statistical-geography/E06000011
e10000011,East Sussex,E10000011,,43,,http://statistics.data.gov.uk/id/statistical-geography/E10000011
e12000006,East of England,E12000006,,44,,http://statistics.data.gov.uk/id/statistical-geography/E12000006
e09000010,Enfield,E09000010,,45,,http://statistics.data.gov.uk/id/statistical-geography/E09000010
e92000001,England,E92000001,,46,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
e10000012,Essex,E10000012,,47,,http://statistics.data.gov.uk/id/statistical-geography/E10000012
e08000037,Gateshead,E08000037,,48,,http://statistics.data.gov.uk/id/statistical-geography/E08000037
e10000013,Gloucestershire,E10000013,,49,,http://statistics.data.gov.uk/id/statistical-geography/E10000013
e09000011,Greenwich,E09000011,,50,,http://statistics.data.gov.uk/id/statistical-geography/E09000011
e09000012,Hackney,E09000012,,51,,http://statistics.data.gov.uk/id/statistical-geography/E09000012
e06000006,Halton,E06000006,,52,,http://statistics.data.gov.uk/id/statistical-geography/E06000006
e09000013,Hammersmith and Fulham,E09000013,,53,,http://statistics.data.gov.uk/id/statistical-geography/E09000013
e10000014,Hampshire,E10000014,,54,,http://statistics.data.gov.uk/id/statistical-geography/E10000014
e09000014,Haringey,E09000014,,55,,http://statistics.data.gov.uk/id/statistical-geography/E09000014
