indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
male-healthy-life-expectancy,e92000001,england,nation,63.02,yrs,Years,2011-01-01t00-00-00/p3y,62.85,63.2,
male-healthy-life-expectancy,e92000001,england,nation,63.17,yrs,Years,2012-01-01t00-00-00/p3y,63.0,63.35,
male-healthy-life-expectancy,e92000001,england,nation,63.22,yrs,Years,2013-01-01t00-00-00/p3y,63.05,63.4,
male-healthy-life-expectancy,e92000001,england,nation,63.27,yrs,Years,2014-01-01t00-00-00/p3y,63.09,63.45,
male-healthy-life-expectancy,e92000001,england,nation,63.33,yrs,Years,2015-01-01t00-00-00/p3y,63.15,63.52,
male-healthy-life-expectancy,e92000001,england,nation,63.32,yrs,Years,2016-01-01t00-00-00/p3y,63.14,63.51,
male-healthy-life-expectancy,e92000001,england,nation,63.19,yrs,Years,2017-01-01t00-00-00/p3y,63.0,63.39,
male-healthy-life-expectancy,e92000001,england,nation,63.08,yrs,Years,2018-01-01t00-00-00/p3y,62.88,63.28,
male-healthy-life-expectancy,e92000001,england,nation,62.74,yrs,Years,2019-01-01t00-00-00/p3y,62.53,62.95,
male-healthy-life-expectancy,e92000001,england,nation,62.29,yrs,Years,2020-01-01t00-00-00/p3y,62.07,62.51,
male-healthy-life-expectancy,e92000001,england,nation,61.52,yrs,Years,2021-01-01t00-00-00/p3y,61.27,61.77,
male-healthy-life-expectancy,e12000001,north-east,region,56.92,yrs,Years,2021-01-01t00-00-00/p3y,56.02,57.82,
male-healthy-life-expectancy,e12000001,north-east,region,57.44,yrs,Years,2020-01-01t00-00-00/p3y,56.62,58.25,
male-healthy-life-expectancy,e12000001,north-east,region,58.62,yrs,Years,2019-01-01t00-00-00/p3y,57.86,59.38,
male-healthy-life-expectancy,e12000001,north-east,region,59.41,yrs,Years,2017-01-01t00-00-00/p3y,58.73,60.1,
