areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2023-04-01/P1Y,20.8,Percentage,%,,,,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2022-04-01/P1Y,20,Percentage,%,,,,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2021-04-01/P1Y,19.3,Percentage,%,,,,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2020-04-01/P1Y,32.1,Percentage,%,,,,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2019-04-01/P1Y,,Percentage,%,,,x,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2018-04-01/P1Y,12.1,Percentage,%,,,,
E92000001,England,Nation,Persistent absences for pupils looked after by local authorities,2017-04-01/P1Y,11.8,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2017-04-01/P1Y,10,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2018-04-01/P1Y,11.3,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2019-04-01/P1Y,,Percentage,%,,,x,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2022-04-01/P1Y,17.6,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2021-04-01/P1Y,16.2,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2023-04-01/P1Y,20.5,Percentage,%,,,,
E12000001,North East,Region,Persistent absences for pupils looked after by local authorities,2020-04-01/P1Y,30,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2018-04-01/P1Y,8,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2017-04-01/P1Y,7.1,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2020-04-01/P1Y,31.2,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2019-04-01/P1Y,,Percentage,%,,,x,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2022-04-01/P1Y,16.5,Percentage,%,,,,
E06000047,County Durham,County or Unitary Authority,Persistent absences for pupils looked after by local authorities,2023-04-01/P1Y,19.8,Percentage,%,,,,
