areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,5G coverage,2025-07-01,65.19,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
K03000001,Great Britain,Country,5G coverage,2025-07-01,63.94,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
K04000001,England and Wales,Country,5G coverage,2025-07-01,78.01,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E92000001,England,Nation,5G coverage,2025-07-01,81.41,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E12000001,North East,Region,5G coverage,2025-07-01,61.56,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E47000006,Tees Valley,Combined Authority or City Region,5G coverage,2025-07-01,96.77,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E47000014,North East,Combined Authority or City Region,5G coverage,2025-07-01,57.97,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E06000047,County Durham,County or Unitary Authority,5G coverage,2025-07-01,66.48,Percentage,%,,,,
E06000005,Darlington,County or Unitary Authority,5G coverage,2025-07-01,96.9,Percentage,%,,,,
E06000001,Hartlepool,County or Unitary Authority,5G coverage,2025-07-01,99.62,Percentage,%,,,,
E06000002,Middlesbrough,County or Unitary Authority,5G coverage,2025-07-01,100.0,Percentage,%,,,,
E06000057,Northumberland,County or Unitary Authority,5G coverage,2025-07-01,49.69,Percentage,%,,,,
E06000003,Redcar and Cleveland,County or Unitary Authority,5G coverage,2025-07-01,93.72,Percentage,%,,,,
E06000004,Stockton-on-Tees,County or Unitary Authority,5G coverage,2025-07-01,98.12,Percentage,%,,,,
E08000037,Gateshead,Local Authority District,5G coverage,2025-07-01,99.6,Percentage,%,,,,
E08000021,Newcastle upon Tyne,Local Authority District,5G coverage,2025-07-01,99.96,Percentage,%,,,,
E08000022,North Tyneside,Local Authority District,5G coverage,2025-07-01,100.0,Percentage,%,,,,
E08000023,South Tyneside,Local Authority District,5G coverage,2025-07-01,99.4,Percentage,%,,,,
E08000024,Sunderland,Local Authority District,5G coverage,2025-07-01,99.99,Percentage,%,,,,
E12000002,North West,Region,5G coverage,2025-07-01,77.64,Percentage,%,,,,This data has been aggregated and may show differences to other published figures
E06000008,Blackburn with Darwen,County or Unitary Authority,5G coverage,2025-07-01,92.02,Percentage,%,,,,
E06000009,Blackpool,County or Unitary Authority,5G coverage,2025-07-01,100.0,Percentage,%,,,,
E06000049,Cheshire East,County or Unitary Authority,5G coverage,2025-07-01,91.29,Percentage,%,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,5G coverage,2025-07-01,91.11,Percentage,%,,,,
E06000006,Halton,County or Unitary Authority,5G coverage,2025-07-01,100.0,Percentage,%,,,,
