AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,7,Percentage,%,6.8,7.2,,1,
K02000001,United Kingdom,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.6,Percentage,%,6.4,6.8,,1,
K03000001,Great Britain,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,6.8,Percentage,%,6.6,7,,1,
K03000001,Great Britain,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.5,Percentage,%,6.3,6.7,,1,
K04000001,England and Wales,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,6.7,Percentage,%,6.5,6.9,,1,
K04000001,England and Wales,Country,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.3,Percentage,%,6.1,6.5,,1,
E92000001,England,Nation,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,6.6,Percentage,%,6.4,6.8,,1,
E92000001,England,Nation,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.2,Percentage,%,6,6.4,,1,
E12000001,North East,Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8,Percentage,%,7.3,8.7,,1,
E12000001,North East,Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8.5,Percentage,%,7.7,9.3,,1,
E47000006,Tees Valley,Combined Authority or City Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8.2,Percentage,%,7.1,9.3,,1,
E47000006,Tees Valley,Combined Authority or City Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8,Percentage,%,6.7,9.3,,1,
E47000014,North East,Combined Authority or City Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,7.9,Percentage,%,7,8.8,,1,
E47000014,North East,Combined Authority or City Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8.6,Percentage,%,7.6,9.6,,1,
E06000047,County Durham,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8.3,Percentage,%,5.8,10.8,,1,
E06000047,County Durham,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8,Percentage,%,6,10,,1,
E06000005,Darlington,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,5.6,Percentage,%,3.3,7.9,,1,
E06000005,Darlington,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,5,Percentage,%,3.2,6.8,,1,
E06000001,Hartlepool,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,11.2,Percentage,%,7.8,14.6,,1,
E06000001,Hartlepool,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8.4,Percentage,%,6,10.8,,1,
E06000002,Middlesbrough,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,9,Percentage,%,6.1,11.9,,1,
E06000002,Middlesbrough,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,10.7,Percentage,%,7.9,13.5,,1,
E06000057,Northumberland,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,7.5,Percentage,%,5.1,9.9,,1,
E06000057,Northumberland,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,4,Percentage,%,2.3,5.7,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,5.7,Percentage,%,3.2,8.2,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,9.9,Percentage,%,7.2,12.6,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8.7,Percentage,%,5.4,12,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,6.8,Percentage,%,4.5,9.1,,1,
E08000037,Gateshead,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.1,Percentage,%,3.6,8.6,,1,
E08000037,Gateshead,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8.5,Percentage,%,5.9,11.1,,1,
E08000021,Newcastle upon Tyne,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8.3,Percentage,%,5.4,11.2,,1,
E08000021,Newcastle upon Tyne,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,11.6,Percentage,%,8.8,14.4,,1,
E08000022,North Tyneside,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,9.1,Percentage,%,6.1,12.1,,1,
E08000022,North Tyneside,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,6.1,Percentage,%,4,8.2,,1,
E08000023,South Tyneside,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,8,Percentage,%,5.5,10.5,,1,
E08000023,South Tyneside,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,9.3,Percentage,%,6.5,12.1,,1,
E08000024,Sunderland,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,13,Percentage,%,9.8,16.2,,1,
E08000024,Sunderland,Local Authority District,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,7.4,Percentage,%,5.1,9.7,,1,
E12000002,North West,Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,8,Percentage,%,7.5,8.5,,1,
E12000002,North West,Region,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,6.7,Percentage,%,6.1,7.3,,1,
E06000008,Blackburn with Darwen,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2023-01-01/P1Y,10.2,Percentage,%,6.7,13.7,,1,
E06000008,Blackburn with Darwen,County or Unitary Authority,No qualifications,Proportion of the population aged 16 – 64 with no qualifications,2022-01-01/P1Y,13.1,Percentage,%,9.5,16.7,,1,
