areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,66.7,Percentage,%,66.4,67.0,,
K02000001,United Kingdom,Country,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,67.7,Percentage,%,67.4,68.0,,
K03000001,Great Britain,Country,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,67.8,Percentage,%,67.5,68.1,,
K03000001,Great Britain,Country,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,66.9,Percentage,%,66.60000000000001,67.2,,
K04000001,England and Wales,Country,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,67.3,Percentage,%,66.89999999999999,67.7,,
K04000001,England and Wales,Country,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,66.3,Percentage,%,66.0,66.6,,
E92000001,England,Nation,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,66.4,Percentage,%,66.10000000000001,66.7,,
E92000001,England,Nation,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,67.4,Percentage,%,67.0,67.80000000000001,,
E12000001,North East,Region,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,60.4,Percentage,%,59.199999999999996,61.6,,
E12000001,North East,Region,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,62.8,Percentage,%,61.4,64.2,,
E47000006,Tees Valley,Combined Authority or City Region,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,61.0,Percentage,%,58.7,63.3,,
E47000006,Tees Valley,Combined Authority or City Region,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,58.6,Percentage,%,56.7,60.5,,
E47000014,North East,Combined Authority or City Region,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,61.0,Percentage,%,59.4,62.6,,
E47000014,North East,Combined Authority or City Region,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,63.4,Percentage,%,61.6,65.2,,
E06000047,County Durham,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,60.9,Percentage,%,56.5,65.3,,
E06000047,County Durham,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,59.1,Percentage,%,55.5,62.7,,
E06000005,Darlington,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,65.6,Percentage,%,60.8,70.39999999999999,,
E06000005,Darlington,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,64.5,Percentage,%,60.5,68.5,,
E06000001,Hartlepool,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,57.9,Percentage,%,52.6,63.199999999999996,,
E06000001,Hartlepool,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,60.9,Percentage,%,56.699999999999996,65.1,,
E06000002,Middlesbrough,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,60.1,Percentage,%,55.1,65.1,,
E06000002,Middlesbrough,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,51.0,Percentage,%,46.5,55.5,,
E06000057,Northumberland,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,64.9,Percentage,%,60.50000000000001,69.30000000000001,,
E06000057,Northumberland,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,63.3,Percentage,%,59.099999999999994,67.5,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,66.3,Percentage,%,61.099999999999994,71.5,,
E06000003,Redcar and Cleveland,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,57.0,Percentage,%,52.6,61.4,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,57.3,Percentage,%,51.5,63.099999999999994,,
E06000004,Stockton-on-Tees,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,61.1,Percentage,%,56.6,65.6,,
E08000037,Gateshead,Local Authority District,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,70.8,Percentage,%,66.1,75.5,,
E08000037,Gateshead,Local Authority District,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,62.2,Percentage,%,57.7,66.7,,
E08000021,Newcastle upon Tyne,Local Authority District,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,71.3,Percentage,%,66.6,76.0,,
E08000021,Newcastle upon Tyne,Local Authority District,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,65.6,Percentage,%,61.49999999999999,69.69999999999999,,
E08000022,North Tyneside,Local Authority District,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,66.1,Percentage,%,61.099999999999994,71.1,,
E08000022,North Tyneside,Local Authority District,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,70.3,Percentage,%,66.2,74.39999999999999,,
E08000023,South Tyneside,Local Authority District,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,59.2,Percentage,%,54.7,63.7,,
E08000023,South Tyneside,Local Authority District,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,56.3,Percentage,%,51.599999999999994,61.0,,
E08000024,Sunderland,Local Authority District,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,51.0,Percentage,%,46.3,55.7,,
E08000024,Sunderland,Local Authority District,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,51.7,Percentage,%,47.300000000000004,56.1,,
E12000002,North West,Region,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,64.5,Percentage,%,63.6,65.4,,
E12000002,North West,Region,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,65.8,Percentage,%,64.7,66.89999999999999,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,55.8,Percentage,%,50.0,61.599999999999994,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,48.5,Percentage,%,43.1,53.9,,
E06000009,Blackpool,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,58.0,Percentage,%,52.8,63.2,,
E06000009,Blackpool,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,59.1,Percentage,%,54.7,63.5,,
E06000049,Cheshire East,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2023-01-01/P1Y,75.5,Percentage,%,69.0,82.0,,
E06000049,Cheshire East,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,69.0,Percentage,%,64.3,73.7,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Level 3 or above qualifications (Great Britain),2022-01-01/P1Y,68.5,Percentage,%,63.5,73.5,,
