AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,63.67,Years,yrs,63.52,63.82,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,63.7,Years,yrs,63.55,63.85,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,63.82,Years,yrs,63.66,63.97,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,63.66,Years,yrs,63.51,63.82,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,63.57,Years,yrs,63.41,63.73,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,63.59,Years,yrs,63.43,63.75,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,63.28,Years,yrs,63.11,63.44,,1,
k02000001,United Kingdom,Country,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,63.59,Years,yrs,63.4,63.77,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,63.87,Years,yrs,63.66,64.07,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,63.52,Years,yrs,63.33,63.71,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,63.77,Years,yrs,63.6,63.95,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,63.89,Years,yrs,63.7,64.07,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,64.06,Years,yrs,63.89,64.24,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,63.85,Years,yrs,63.68,64.03,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,63.84,Years,yrs,63.67,64.01,,1,
e92000001,England,Nation,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,63.81,Years,yrs,63.63,63.98,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,60.27,Years,yrs,59.69,60.85,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,59.91,Years,yrs,59.32,60.5,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,60.06,Years,yrs,59.47,60.65,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,60.53,Years,yrs,59.94,61.13,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,60.35,Years,yrs,59.76,60.94,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,59.66,Years,yrs,59.02,60.3,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,59.04,Years,yrs,58.37,59.7,,1,
e12000001,North East,Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,59.66,Years,yrs,58.95,60.36,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,58.85,Years,yrs,57.96,59.75,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,60.08,Years,yrs,59.13,61.03,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,60.24,Years,yrs,59.36,61.12,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,59.83,Years,yrs,58.94,60.72,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,60.39,Years,yrs,59.53,61.25,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,60.73,Years,yrs,59.91,61.54,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,60.54,Years,yrs,59.73,61.35,,1,
e47000006,Tees Valley,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,60.68,Years,yrs,59.79,61.58,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,59.0,Years,yrs,58.01,59.98,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,58.2,Years,yrs,57.19,59.2,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,58.17,Years,yrs,57.2,59.14,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,59.22,Years,yrs,58.22,60.21,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,58.89,Years,yrs,57.91,59.86,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,57.96,Years,yrs,56.89,59.04,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,58.39,Years,yrs,57.29,59.5,,1,
e47000010,North East,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,58.77,Years,yrs,57.62,59.92,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,60.55,Years,yrs,59.18,61.91,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,60.01,Years,yrs,58.79,61.23,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,61.91,Years,yrs,60.73,63.09,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,62.67,Years,yrs,61.61,63.74,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,62.66,Years,yrs,61.59,63.73,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,61.91,Years,yrs,60.86,62.97,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,62.05,Years,yrs,61.0,63.09,,1,
e47000011,North of Tyne,Combined Authority or City Region,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,62.73,Years,yrs,61.66,63.8,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,59.8,Years,yrs,57.98,61.62,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2012-01-01t00-00-00/p3y,57.61,Years,yrs,55.72,59.51,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,56.89,Years,yrs,55.15,58.63,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,58.94,Years,yrs,57.14,60.73,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,58.73,Years,yrs,57.01,60.45,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,58.38,Years,yrs,56.4,60.37,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,58.34,Years,yrs,56.28,60.4,,1,
e06000047,County Durham,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,59.86,Years,yrs,57.88,61.84,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2017-01-01t00-00-00/p3y,62.16,Years,yrs,60.37,63.94,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2018-01-01t00-00-00/p3y,60.61,Years,yrs,58.51,62.7,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2015-01-01t00-00-00/p3y,64.26,Years,yrs,62.46,66.06,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2016-01-01t00-00-00/p3y,63.25,Years,yrs,61.44,65.06,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2013-01-01t00-00-00/p3y,61.42,Years,yrs,59.54,63.29,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2011-01-01t00-00-00/p3y,62.91,Years,yrs,61.1,64.72,,1,
e06000005,Darlington,County or Unitary Authority,Female healthy life expectancy,Female healthy life expectancy,Mission 7,Spreading opportunity and improving public services,2014-01-01t00-00-00/p3y,63.43,Years,yrs,61.52,65.35,,1,
