areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
N92000002,Northern Ireland,Nation,Employment rate (Northern Ireland),2023-01-01/P1Y,73.6,Percentage,%,72.5,74.7,,
N92000002,Northern Ireland,Nation,Economically inactive (Northern Ireland),2023-01-01/P1Y,24.7,Percentage,%,23.6,25.8,,
N09000001,Antrim and Newtownabbey,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,78.5,Percentage,%,74.7,82.2,,
N09000001,Antrim and Newtownabbey,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,19.8,Percentage,%,16.2,23.5,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,76.6,Percentage,%,73.4,79.7,,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,20.9,Percentage,%,17.8,23.9,,
N09000003,Belfast,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,67.9,Percentage,%,65,70.8,,
N09000003,Belfast,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,30.5,Percentage,%,27.6,33.3,,
N09000004,Causeway Coast and Glens,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,68.3,Percentage,%,63.9,72.6,,
N09000004,Causeway Coast and Glens,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,30.6,Percentage,%,26.3,35,,
N09000005,Derry City and Strabane,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,65.4,Percentage,%,61.1,69.6,,
N09000005,Derry City and Strabane,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,32.7,Percentage,%,28.5,36.9,,
N09000006,Fermanagh and Omagh,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,26,Percentage,%,21.8,30.3,,
N09000006,Fermanagh and Omagh,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,70.6,Percentage,%,66.2,75,,
N09000007,Lisburn and Castlereagh,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,77.8,Percentage,%,74.2,81.4,,
N09000007,Lisburn and Castlereagh,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,21.7,Percentage,%,18.1,25.3,,
N09000008,Mid and East Antrim,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,79.5,Percentage,%,76,83,,
N09000008,Mid and East Antrim,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,19.3,Percentage,%,15.9,22.7,,
N09000009,Mid Ulster,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,74.9,Percentage,%,71.2,78.6,,
N09000009,Mid Ulster,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,23.3,Percentage,%,19.7,26.9,,
N09000010,"Newry, Mourne and Down",Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,78.8,Percentage,%,75.5,82,,
N09000010,"Newry, Mourne and Down",Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,19.5,Percentage,%,16.3,22.6,,
N09000011,Ards and North Down,Local Authority District,Employment rate (Northern Ireland),2023-01-01/P1Y,75.5,Percentage,%,71.9,79.2,,
N09000011,Ards and North Down,Local Authority District,Economically inactive (Northern Ireland),2023-01-01/P1Y,23.6,Percentage,%,20,27.3,,
