AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e92000001,England,Nation,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,9.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e12000001,North East,Region,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,7.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000047,County Durham,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,7.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000005,Darlington,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,10.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000001,Hartlepool,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,8.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000002,Middlesbrough,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,9.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000057,Northumberland,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,10.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000003,Redcar and Cleveland,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,7.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e06000004,Stockton-on-Tees,County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,4.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
e11000007,Tyne and Wear (Met County),County or Unitary Authority,"Net additions to the housing stock (rate per 1,000 stock)",Additions to the housing stock,Mission 10,"Restoring a sense of community, local pride and belonging",2021-2022,6.0,"Rate per 1,000 stock","Rate per 1,000 stock",,,,1,
