AREACD,AREANM,Geography,Variable Name,Indicator,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k02000001,united-kingdom,country,Value of UK exports,Value of UK exports,2022,848051.0,Pounds,£ million,,,,1,
e92000001,england,nation,Value of UK exports,Value of UK exports,2022,656648.0,Pounds,£ million,,,,1,
tlc,north-east,itl-level-1,Value of UK exports,Value of UK exports,2022,19108.0,Pounds,£ million,,,,1,
tlc1,tees-valley-and-durham,itl-level-2,Value of UK exports,Value of UK exports,2022,,Pounds,£ million,,,x,1,
e47000006,tees-valley,combined-authority-or-city-region,Value of UK exports,Value of UK exports,2022,,Pounds,£ million,,,x,1,
tlc11,hartlepool-and-stockton-on-tees,itl-level-3,Value of UK exports,Value of UK exports,2022,3840.0,Pounds,£ million,,,,1,
tlc12,south-teesside,itl-level-3,Value of UK exports,Value of UK exports,2022,,Pounds,£ million,,,x,1,
tlc13,darlington,itl-level-3,Value of UK exports,Value of UK exports,2022,,Pounds,£ million,,,x,1,
tlc14,durham,itl-level-3,Value of UK exports,Value of UK exports,2022,3221.0,Pounds,£ million,,,,1,
tlc2,northumberland-and-tyne-and-wear,itl-level-2,Value of UK exports,Value of UK exports,2022,10046.0,Pounds,£ million,,,,1,
e47000011,north-of-tyne,combined-authority-or-city-region,Value of UK exports,Value of UK exports,2022,5356.0,Pounds,£ million,,,,1,Obsolete code since 2018 (replaced by E47000014 North East)
tlc21,northumberland,itl-level-3,Value of UK exports,Value of UK exports,2022,1667.0,Pounds,£ million,,,,1,
tlc22,tyneside,itl-level-3,Value of UK exports,Value of UK exports,2022,5005.0,Pounds,£ million,,,,1,
tlc23,sunderland,itl-level-3,Value of UK exports,Value of UK exports,2022,3374.0,Pounds,£ million,,,,1,
tld,north-west,itl-level-1,Value of UK exports,Value of UK exports,2022,68466.0,Pounds,£ million,,,,1,
tld1,cumbria,itl-level-2,Value of UK exports,Value of UK exports,2022,3597.0,Pounds,£ million,,,,1,
tld11,west-cumbria,itl-level-3,Value of UK exports,Value of UK exports,2022,1335.0,Pounds,£ million,,,,1,
tld12,east-cumbria,itl-level-3,Value of UK exports,Value of UK exports,2022,2262.0,Pounds,£ million,,,,1,
tld3,greater-manchester,itl-level-2,Value of UK exports,Value of UK exports,2022,21691.0,Pounds,£ million,,,,1,
e47000001,greater-manchester,combined-authority-or-city-region,Value of UK exports,Value of UK exports,2022,21691.0,Pounds,£ million,,,,1,
tld33,manchester,itl-level-3,Value of UK exports,Value of UK exports,2022,10164.0,Pounds,£ million,,,,1,
tld34,greater-manchester-south-west,itl-level-3,Value of UK exports,Value of UK exports,2022,4858.0,Pounds,£ million,,,,1,
tld35,greater-manchester-south-east,itl-level-3,Value of UK exports,Value of UK exports,2022,2428.0,Pounds,£ million,,,,1,
tld36,greater-manchester-north-west,itl-level-3,Value of UK exports,Value of UK exports,2022,1793.0,Pounds,£ million,,,,1,
tld37,greater-manchester-north-east,itl-level-3,Value of UK exports,Value of UK exports,2022,2448.0,Pounds,£ million,,,,1,
tld4,lancashire,itl-level-2,Value of UK exports,Value of UK exports,2022,14000.0,Pounds,£ million,,,,1,
tld41,blackburn-with-darwen,itl-level-3,Value of UK exports,Value of UK exports,2022,586.0,Pounds,£ million,,,,1,
tld42,blackpool,itl-level-3,Value of UK exports,Value of UK exports,2022,229.0,Pounds,£ million,,,,1,
tld44,lancaster-and-wyre,itl-level-3,Value of UK exports,Value of UK exports,2022,1102.0,Pounds,£ million,,,,1,
tld45,mid-lancashire,itl-level-3,Value of UK exports,Value of UK exports,2022,9532.0,Pounds,£ million,,,,1,
tld46,east-lancashire,itl-level-3,Value of UK exports,Value of UK exports,2022,1665.0,Pounds,£ million,,,,1,
tld47,chorley-and-west-lancashire,itl-level-3,Value of UK exports,Value of UK exports,2022,886.0,Pounds,£ million,,,,1,
tld6,cheshire,itl-level-2,Value of UK exports,Value of UK exports,2022,17539.0,Pounds,£ million,,,,1,
tld61,warrington,itl-level-3,Value of UK exports,Value of UK exports,2022,2398.0,Pounds,£ million,,,,1,
tld62,cheshire-east,itl-level-3,Value of UK exports,Value of UK exports,2022,8790.0,Pounds,£ million,,,,1,
tld63,cheshire-west-and-chester,itl-level-3,Value of UK exports,Value of UK exports,2022,6351.0,Pounds,£ million,,,,1,
tld7,merseyside,itl-level-2,Value of UK exports,Value of UK exports,2022,11639.0,Pounds,£ million,,,,1,
