Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
tlm50,Aberdeen City and Aberdeenshire,TLM50,,0,,http://statistics.data.gov.uk/id/statistical-geography/TLM50
tlm71,Angus and Dundee City,TLM71,,1,,http://statistics.data.gov.uk/id/statistical-geography/TLM71
tli52,Barking & Dagenham and Havering,TLI52,,2,,http://statistics.data.gov.uk/id/statistical-geography/TLI52
tli71,Barnet,TLI71,,3,,http://statistics.data.gov.uk/id/statistical-geography/TLI71
tle31,"Barnsley, Doncaster and Rotherham",TLE31,,4,,http://statistics.data.gov.uk/id/statistical-geography/TLE31
tlk12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK12,,5,,http://statistics.data.gov.uk/id/statistical-geography/TLK12
tlh24,Bedford,TLH24,,6,,http://statistics.data.gov.uk/id/statistical-geography/TLH24
tlh2,Bedfordshire and Hertfordshire,TLH2,,7,,http://statistics.data.gov.uk/id/statistical-geography/TLH2
tlj11,Berkshire,TLJ11,,8,,http://statistics.data.gov.uk/id/statistical-geography/TLJ11
tlj1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,,9,,http://statistics.data.gov.uk/id/statistical-geography/TLJ1
tli51,Bexley and Greenwich,TLI51,,10,,http://statistics.data.gov.uk/id/statistical-geography/TLI51
tlg31,Birmingham,TLG31,,11,,http://statistics.data.gov.uk/id/statistical-geography/TLG31
tld41,Blackburn with Darwen,TLD41,,12,,http://statistics.data.gov.uk/id/statistical-geography/TLD41
tld42,Blackpool,TLD42,,13,,http://statistics.data.gov.uk/id/statistical-geography/TLD42
tlk24,"Bournemouth, Christchurch and Poole",TLK24,,14,,http://statistics.data.gov.uk/id/statistical-geography/TLK24
tle41,Bradford,TLE41,,15,,http://statistics.data.gov.uk/id/statistical-geography/TLE41
tlh17,Breckland and South Norfolk,TLH17,,16,,http://statistics.data.gov.uk/id/statistical-geography/TLH17
tli72,Brent,TLI72,,17,,http://statistics.data.gov.uk/id/statistical-geography/TLI72
tll17,Bridgend and Neath Port Talbot,TLL17,,18,,http://statistics.data.gov.uk/id/statistical-geography/TLL17
tlj21,Brighton and Hove,TLJ21,,19,,http://statistics.data.gov.uk/id/statistical-geography/TLJ21
tlk11,"Bristol, City of",TLK11,,20,,http://statistics.data.gov.uk/id/statistical-geography/TLK11
tli61,Bromley,TLI61,,21,,http://statistics.data.gov.uk/id/statistical-geography/TLI61
tlj13,Buckinghamshire,TLJ13,,22,,http://statistics.data.gov.uk/id/statistical-geography/TLJ13
tlm61,"Caithness and Sutherland, and Ross and Cromarty",TLM61,,23,,http://statistics.data.gov.uk/id/statistical-geography/TLM61
tle44,Calderdale and Kirklees,TLE44,,24,,http://statistics.data.gov.uk/id/statistical-geography/TLE44
tlh12,Cambridgeshire CC,TLH12,,25,,http://statistics.data.gov.uk/id/statistical-geography/TLH12
e47000008,Cambridgeshire and Peterborough,E47000008,,26,,http://statistics.data.gov.uk/id/statistical-geography/E47000008
tli31,Camden and City of London,TLI31,,27,,http://statistics.data.gov.uk/id/statistical-geography/TLI31
w42000001,Cardiff Capital Region,W42000001,,28,,http://statistics.data.gov.uk/id/statistical-geography/W42000001
tll22,Cardiff and Vale of Glamorgan,TLL22,,29,,http://statistics.data.gov.uk/id/statistical-geography/TLL22
tlh25,Central Bedfordshire,TLH25,,30,,http://statistics.data.gov.uk/id/statistical-geography/TLH25
tlj36,Central Hampshire,TLJ36,,31,,http://statistics.data.gov.uk/id/statistical-geography/TLJ36
