areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes
K02000001,United Kingdom,Country,Public electric vehicle chargers,2026-01-01,167.50807290558942,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
K02000001,United Kingdom,Country,Public electric vehicle chargers,2026-04-01,171.8786519973597,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
K03000001,Great Britain,Country,Public electric vehicle chargers,2026-01-01,170.65759026743373,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
K03000001,Great Britain,Country,Public electric vehicle chargers,2026-04-01,175.0983340425755,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
K04000001,England and Wales,Country,Public electric vehicle chargers,2026-01-01,166.45287640582293,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
K04000001,England and Wales,Country,Public electric vehicle chargers,2026-04-01,170.31006453315192,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E92000001,England,Nation,Public electric vehicle chargers,2026-01-01,165.8731362472405,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E92000001,England,Nation,Public electric vehicle chargers,2026-04-01,169.82399945029096,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E12000001,North East,Region,Public electric vehicle chargers,2026-01-01,138.87892756779314,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E12000001,North East,Region,Public electric vehicle chargers,2026-04-01,144.3848214098131,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E47000006,Tees Valley,Combined Authority or City Region,Public electric vehicle chargers,2026-04-01,110.82151003425646,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E47000006,Tees Valley,Combined Authority or City Region,Public electric vehicle chargers,2026-01-01,111.52291199649859,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E47000014,North East,Combined Authority or City Region,Public electric vehicle chargers,2026-01-01,148.40171499448195,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E47000014,North East,Combined Authority or City Region,Public electric vehicle chargers,2026-04-01,156.06840444960983,"Rate per 100,000 population","Rate per 100,000 population",,,,This data has been aggregated and may show differences to other published figures.
E06000047,County Durham,County or Unitary Authority,Public electric vehicle chargers,2026-01-01,138.6588750044144,"Rate per 100,000 population","Rate per 100,000 population",,,,
E06000047,County Durham,County or Unitary Authority,Public electric vehicle chargers,2026-04-01,142.93388053404112,"Rate per 100,000 population","Rate per 100,000 population",,,,
E06000005,Darlington,County or Unitary Authority,Public electric vehicle chargers,2026-01-01,142.23612975490937,"Rate per 100,000 population","Rate per 100,000 population",,,,
